response,context1,context2,context3,context4,context5,context6,context7
That's what makes them so...,They take the shape of whatever a person fears the most.,Boggarts are shape-shifters.,When did she get here?,No one knows.,"Now, can anybody tell me what a boggart looks like?","Very good, Mr. Thomas.","That's a boggart, that is."
"So terrifying, yes, yes, yes...",That's what makes them so...,They take the shape of whatever a person fears the most.,Boggarts are shape-shifters.,When did she get here?,No one knows.,"Now, can anybody tell me what a boggart looks like?","Very good, Mr. Thomas."
"Luckily, a very simple charm exists to repel a boggart.","So terrifying, yes, yes, yes...",That's what makes them so...,They take the shape of whatever a person fears the most.,Boggarts are shape-shifters.,When did she get here?,No one knows.,"Now, can anybody tell me what a boggart looks like?"
Let's practice it now.,"Luckily, a very simple charm exists to repel a boggart.","So terrifying, yes, yes, yes...",That's what makes them so...,They take the shape of whatever a person fears the most.,Boggarts are shape-shifters.,When did she get here?,No one knows.
"Without wands, please.",Let's practice it now.,"Luckily, a very simple charm exists to repel a boggart.","So terrifying, yes, yes, yes...",That's what makes them so...,They take the shape of whatever a person fears the most.,Boggarts are shape-shifters.,When did she get here?
After me. Riddikulus!,"Without wands, please.",Let's practice it now.,"Luckily, a very simple charm exists to repel a boggart.","So terrifying, yes, yes, yes...",That's what makes them so...,They take the shape of whatever a person fears the most.,Boggarts are shape-shifters.
Riddikulus!,After me. Riddikulus!,"Without wands, please.",Let's practice it now.,"Luckily, a very simple charm exists to repel a boggart.","So terrifying, yes, yes, yes...",That's what makes them so...,They take the shape of whatever a person fears the most.
Very good.,Riddikulus!,After me. Riddikulus!,"Without wands, please.",Let's practice it now.,"Luckily, a very simple charm exists to repel a boggart.","So terrifying, yes, yes, yes...",That's what makes them so...
A little louder and very clear.,Very good.,Riddikulus!,After me. Riddikulus!,"Without wands, please.",Let's practice it now.,"Luckily, a very simple charm exists to repel a boggart.","So terrifying, yes, yes, yes..."
Listen: Riddikulus!,A little louder and very clear.,Very good.,Riddikulus!,After me. Riddikulus!,"Without wands, please.",Let's practice it now.,"Luckily, a very simple charm exists to repel a boggart."
Riddikulus!,Listen: Riddikulus!,A little louder and very clear.,Very good.,Riddikulus!,After me. Riddikulus!,"Without wands, please.",Let's practice it now.
This class is ridiculous.,Riddikulus!,Listen: Riddikulus!,A little louder and very clear.,Very good.,Riddikulus!,After me. Riddikulus!,"Without wands, please."
Very good.,This class is ridiculous.,Riddikulus!,Listen: Riddikulus!,A little louder and very clear.,Very good.,Riddikulus!,After me. Riddikulus!
So much for the easy part. ,Very good.,This class is ridiculous.,Riddikulus!,Listen: Riddikulus!,A little louder and very clear.,Very good.,Riddikulus!
"You see, the incantation alone is not enough.",So much for the easy part. ,Very good.,This class is ridiculous.,Riddikulus!,Listen: Riddikulus!,A little louder and very clear.,Very good.
What really finishes a boggart is laughter.,"You see, the incantation alone is not enough.",So much for the easy part. ,Very good.,This class is ridiculous.,Riddikulus!,Listen: Riddikulus!,A little louder and very clear.
You need to force it to assume a shape you find truly amusing. ,What really finishes a boggart is laughter.,"You see, the incantation alone is not enough.",So much for the easy part. ,Very good.,This class is ridiculous.,Riddikulus!,Listen: Riddikulus!
"Let me explain. Neville, would you join me, please?",You need to force it to assume a shape you find truly amusing. ,What really finishes a boggart is laughter.,"You see, the incantation alone is not enough.",So much for the easy part. ,Very good.,This class is ridiculous.,Riddikulus!
"Come on, don't be shy. Come on.","Let me explain. Neville, would you join me, please?",You need to force it to assume a shape you find truly amusing. ,What really finishes a boggart is laughter.,"You see, the incantation alone is not enough.",So much for the easy part. ,Very good.,This class is ridiculous.
Come on.,"Come on, don't be shy. Come on.","Let me explain. Neville, would you join me, please?",You need to force it to assume a shape you find truly amusing. ,What really finishes a boggart is laughter.,"You see, the incantation alone is not enough.",So much for the easy part. ,Very good.
"Hello. Neville, what frightens you most of all?",Come on.,"Come on, don't be shy. Come on.","Let me explain. Neville, would you join me, please?",You need to force it to assume a shape you find truly amusing. ,What really finishes a boggart is laughter.,"You see, the incantation alone is not enough.",So much for the easy part. 
Professor Snape.,"Hello. Neville, what frightens you most of all?",Come on.,"Come on, don't be shy. Come on.","Let me explain. Neville, would you join me, please?",You need to force it to assume a shape you find truly amusing. ,What really finishes a boggart is laughter.,"You see, the incantation alone is not enough."
Sorry?,Professor Snape.,"Hello. Neville, what frightens you most of all?",Come on.,"Come on, don't be shy. Come on.","Let me explain. Neville, would you join me, please?",You need to force it to assume a shape you find truly amusing. ,What really finishes a boggart is laughter.
Professor Snape.,Sorry?,Professor Snape.,"Hello. Neville, what frightens you most of all?",Come on.,"Come on, don't be shy. Come on.","Let me explain. Neville, would you join me, please?",You need to force it to assume a shape you find truly amusing. 
"Professor Snape. Yes, frightens all.",Professor Snape.,Sorry?,Professor Snape.,"Hello. Neville, what frightens you most of all?",Come on.,"Come on, don't be shy. Come on.","Let me explain. Neville, would you join me, please?"
You live with your grandmother.,"Professor Snape. Yes, frightens all.",Professor Snape.,Sorry?,Professor Snape.,"Hello. Neville, what frightens you most of all?",Come on.,"Come on, don't be shy. Come on."
"Yes. I don't want it to turn into her, either.",You live with your grandmother.,"Professor Snape. Yes, frightens all.",Professor Snape.,Sorry?,Professor Snape.,"Hello. Neville, what frightens you most of all?",Come on.
No it won't. I want you to picture her clothes.,"Yes. I don't want it to turn into her, either.",You live with your grandmother.,"Professor Snape. Yes, frightens all.",Professor Snape.,Sorry?,Professor Snape.,"Hello. Neville, what frightens you most of all?"
"Only her clothes, very clearly, in your mind.",No it won't. I want you to picture her clothes.,"Yes. I don't want it to turn into her, either.",You live with your grandmother.,"Professor Snape. Yes, frightens all.",Professor Snape.,Sorry?,Professor Snape.
She carries a red handbag...,"Only her clothes, very clearly, in your mind.",No it won't. I want you to picture her clothes.,"Yes. I don't want it to turn into her, either.",You live with your grandmother.,"Professor Snape. Yes, frightens all.",Professor Snape.,Sorry?
We don't need to hear.,She carries a red handbag...,"Only her clothes, very clearly, in your mind.",No it won't. I want you to picture her clothes.,"Yes. I don't want it to turn into her, either.",You live with your grandmother.,"Professor Snape. Yes, frightens all.",Professor Snape.
"As long as you see it, we'll see it.",We don't need to hear.,She carries a red handbag...,"Only her clothes, very clearly, in your mind.",No it won't. I want you to picture her clothes.,"Yes. I don't want it to turn into her, either.",You live with your grandmother.,"Professor Snape. Yes, frightens all."
"Now, when I open that wardrobe here's what I want you to do. Excuse me.","As long as you see it, we'll see it.",We don't need to hear.,She carries a red handbag...,"Only her clothes, very clearly, in your mind.",No it won't. I want you to picture her clothes.,"Yes. I don't want it to turn into her, either.",You live with your grandmother.
Imagine Professor Snape in your grandmother's clothes.,"Now, when I open that wardrobe here's what I want you to do. Excuse me.","As long as you see it, we'll see it.",We don't need to hear.,She carries a red handbag...,"Only her clothes, very clearly, in your mind.",No it won't. I want you to picture her clothes.,"Yes. I don't want it to turn into her, either."
Can you do that?,Imagine Professor Snape in your grandmother's clothes.,"Now, when I open that wardrobe here's what I want you to do. Excuse me.","As long as you see it, we'll see it.",We don't need to hear.,She carries a red handbag...,"Only her clothes, very clearly, in your mind.",No it won't. I want you to picture her clothes.
Yes. Wand at the ready.,Can you do that?,Imagine Professor Snape in your grandmother's clothes.,"Now, when I open that wardrobe here's what I want you to do. Excuse me.","As long as you see it, we'll see it.",We don't need to hear.,She carries a red handbag...,"Only her clothes, very clearly, in your mind."
"One, two, three.",Yes. Wand at the ready.,Can you do that?,Imagine Professor Snape in your grandmother's clothes.,"Now, when I open that wardrobe here's what I want you to do. Excuse me.","As long as you see it, we'll see it.",We don't need to hear.,She carries a red handbag...
"Think, Neville, think.","One, two, three.",Yes. Wand at the ready.,Can you do that?,Imagine Professor Snape in your grandmother's clothes.,"Now, when I open that wardrobe here's what I want you to do. Excuse me.","As long as you see it, we'll see it.",We don't need to hear.
Riddikulus!,"Think, Neville, think.","One, two, three.",Yes. Wand at the ready.,Can you do that?,Imagine Professor Snape in your grandmother's clothes.,"Now, when I open that wardrobe here's what I want you to do. Excuse me.","As long as you see it, we'll see it."
"Wonderful, Neville, wonderful!",Riddikulus!,"Think, Neville, think.","One, two, three.",Yes. Wand at the ready.,Can you do that?,Imagine Professor Snape in your grandmother's clothes.,"Now, when I open that wardrobe here's what I want you to do. Excuse me."
"Incredible! Okay to the back, Neville.","Wonderful, Neville, wonderful!",Riddikulus!,"Think, Neville, think.","One, two, three.",Yes. Wand at the ready.,Can you do that?,Imagine Professor Snape in your grandmother's clothes.
"Everyone, form a line...","Incredible! Okay to the back, Neville.","Wonderful, Neville, wonderful!",Riddikulus!,"Think, Neville, think.","One, two, three.",Yes. Wand at the ready.,Can you do that?
Form a line!,"Everyone, form a line...","Incredible! Okay to the back, Neville.","Wonderful, Neville, wonderful!",Riddikulus!,"Think, Neville, think.","One, two, three.",Yes. Wand at the ready.
I want everyone to picture the thing they fear the very most and turn it into something funny.,Form a line!,"Everyone, form a line...","Incredible! Okay to the back, Neville.","Wonderful, Neville, wonderful!",Riddikulus!,"Think, Neville, think.","One, two, three."
Next! Ron!,I want everyone to picture the thing they fear the very most and turn it into something funny.,Form a line!,"Everyone, form a line...","Incredible! Okay to the back, Neville.","Wonderful, Neville, wonderful!",Riddikulus!,"Think, Neville, think."
Concentrate. Face your fear.,Next! Ron!,I want everyone to picture the thing they fear the very most and turn it into something funny.,Form a line!,"Everyone, form a line...","Incredible! Okay to the back, Neville.","Wonderful, Neville, wonderful!",Riddikulus!
Be brave!,Concentrate. Face your fear.,Next! Ron!,I want everyone to picture the thing they fear the very most and turn it into something funny.,Form a line!,"Everyone, form a line...","Incredible! Okay to the back, Neville.","Wonderful, Neville, wonderful!"
"Wand at the ready, Ron.",Be brave!,Concentrate. Face your fear.,Next! Ron!,I want everyone to picture the thing they fear the very most and turn it into something funny.,Form a line!,"Everyone, form a line...","Incredible! Okay to the back, Neville."
Riddikulus!,"Wand at the ready, Ron.",Be brave!,Concentrate. Face your fear.,Next! Ron!,I want everyone to picture the thing they fear the very most and turn it into something funny.,Form a line!,"Everyone, form a line..."
Yes!,Riddikulus!,"Wand at the ready, Ron.",Be brave!,Concentrate. Face your fear.,Next! Ron!,I want everyone to picture the thing they fear the very most and turn it into something funny.,Form a line!
"You see? Very good, very good!",Yes!,Riddikulus!,"Wand at the ready, Ron.",Be brave!,Concentrate. Face your fear.,Next! Ron!,I want everyone to picture the thing they fear the very most and turn it into something funny.
"Marvelous! Absolutely, very, very enjoyable! Parvati! Next!","You see? Very good, very good!",Yes!,Riddikulus!,"Wand at the ready, Ron.",Be brave!,Concentrate. Face your fear.,Next! Ron!
Show us what you see.,"Marvelous! Absolutely, very, very enjoyable! Parvati! Next!","You see? Very good, very good!",Yes!,Riddikulus!,"Wand at the ready, Ron.",Be brave!,Concentrate. Face your fear.
Keep your nerve. Steady.,Show us what you see.,"Marvelous! Absolutely, very, very enjoyable! Parvati! Next!","You see? Very good, very good!",Yes!,Riddikulus!,"Wand at the ready, Ron.",Be brave!
Riddikulus!,Keep your nerve. Steady.,Show us what you see.,"Marvelous! Absolutely, very, very enjoyable! Parvati! Next!","You see? Very good, very good!",Yes!,Riddikulus!,"Wand at the ready, Ron."
"And next! Step up, step up!",Riddikulus!,Keep your nerve. Steady.,Show us what you see.,"Marvelous! Absolutely, very, very enjoyable! Parvati! Next!","You see? Very good, very good!",Yes!,Riddikulus!
"Wonderful, wonderful! Here!","And next! Step up, step up!",Riddikulus!,Keep your nerve. Steady.,Show us what you see.,"Marvelous! Absolutely, very, very enjoyable! Parvati! Next!","You see? Very good, very good!",Yes!
Riddikulus!,"Wonderful, wonderful! Here!","And next! Step up, step up!",Riddikulus!,Keep your nerve. Steady.,Show us what you see.,"Marvelous! Absolutely, very, very enjoyable! Parvati! Next!","You see? Very good, very good!"
Right. Sorry about that.,Riddikulus!,"Wonderful, wonderful! Here!","And next! Step up, step up!",Riddikulus!,Keep your nerve. Steady.,Show us what you see.,"Marvelous! Absolutely, very, very enjoyable! Parvati! Next!"
That's enough for today.,Right. Sorry about that.,Riddikulus!,"Wonderful, wonderful! Here!","And next! Step up, step up!",Riddikulus!,Keep your nerve. Steady.,Show us what you see.
Collect your books from the back.,That's enough for today.,Right. Sorry about that.,Riddikulus!,"Wonderful, wonderful! Here!","And next! Step up, step up!",Riddikulus!,Keep your nerve. Steady.
That's the end of the lesson.,Collect your books from the back.,That's enough for today.,Right. Sorry about that.,Riddikulus!,"Wonderful, wonderful! Here!","And next! Step up, step up!",Riddikulus!
Thank you! Sorry!,That's the end of the lesson.,Collect your books from the back.,That's enough for today.,Right. Sorry about that.,Riddikulus!,"Wonderful, wonderful! Here!","And next! Step up, step up!"
"Sorry, you can have too much of a good thing.",Thank you! Sorry!,That's the end of the lesson.,Collect your books from the back.,That's enough for today.,Right. Sorry about that.,Riddikulus!,"Wonderful, wonderful! Here!"
"Remember, these visits to Hogsmeade village are a privilege.","Sorry, you can have too much of a good thing.",Thank you! Sorry!,That's the end of the lesson.,Collect your books from the back.,That's enough for today.,Right. Sorry about that.,Riddikulus!
Should your behavior reflect poorly on the school that privilege shall not be extended again.,"Remember, these visits to Hogsmeade village are a privilege.","Sorry, you can have too much of a good thing.",Thank you! Sorry!,That's the end of the lesson.,Collect your books from the back.,That's enough for today.,Right. Sorry about that.
"No permission form signed, no visiting the village.",Should your behavior reflect poorly on the school that privilege shall not be extended again.,"Remember, these visits to Hogsmeade village are a privilege.","Sorry, you can have too much of a good thing.",Thank you! Sorry!,That's the end of the lesson.,Collect your books from the back.,That's enough for today.
"That's the rule, Potter.","No permission form signed, no visiting the village.",Should your behavior reflect poorly on the school that privilege shall not be extended again.,"Remember, these visits to Hogsmeade village are a privilege.","Sorry, you can have too much of a good thing.",Thank you! Sorry!,That's the end of the lesson.,Collect your books from the back.
"Those with permission, follow me.","That's the rule, Potter.","No permission form signed, no visiting the village.",Should your behavior reflect poorly on the school that privilege shall not be extended again.,"Remember, these visits to Hogsmeade village are a privilege.","Sorry, you can have too much of a good thing.",Thank you! Sorry!,That's the end of the lesson.
"Those without, stay put.","Those with permission, follow me.","That's the rule, Potter.","No permission form signed, no visiting the village.",Should your behavior reflect poorly on the school that privilege shall not be extended again.,"Remember, these visits to Hogsmeade village are a privilege.","Sorry, you can have too much of a good thing.",Thank you! Sorry!
"I thought if you signed it, then I could...","Those without, stay put.","Those with permission, follow me.","That's the rule, Potter.","No permission form signed, no visiting the village.",Should your behavior reflect poorly on the school that privilege shall not be extended again.,"Remember, these visits to Hogsmeade village are a privilege.","Sorry, you can have too much of a good thing."
I can't. Only a parent or a guardian can sign.,"I thought if you signed it, then I could...","Those without, stay put.","Those with permission, follow me.","That's the rule, Potter.","No permission form signed, no visiting the village.",Should your behavior reflect poorly on the school that privilege shall not be extended again.,"Remember, these visits to Hogsmeade village are a privilege."
"Since I am neither, it would be inappropriate.",I can't. Only a parent or a guardian can sign.,"I thought if you signed it, then I could...","Those without, stay put.","Those with permission, follow me.","That's the rule, Potter.","No permission form signed, no visiting the village.",Should your behavior reflect poorly on the school that privilege shall not be extended again.
"I'm sorry, Potter.","Since I am neither, it would be inappropriate.",I can't. Only a parent or a guardian can sign.,"I thought if you signed it, then I could...","Those without, stay put.","Those with permission, follow me.","That's the rule, Potter.","No permission form signed, no visiting the village."
That's my final word.,"I'm sorry, Potter.","Since I am neither, it would be inappropriate.",I can't. Only a parent or a guardian can sign.,"I thought if you signed it, then I could...","Those without, stay put.","Those with permission, follow me.","That's the rule, Potter."
"Forget about it, guys. See you later.",That's my final word.,"I'm sorry, Potter.","Since I am neither, it would be inappropriate.",I can't. Only a parent or a guardian can sign.,"I thought if you signed it, then I could...","Those without, stay put.","Those with permission, follow me."
"Professor, can I ask you something?","Forget about it, guys. See you later.",That's my final word.,"I'm sorry, Potter.","Since I am neither, it would be inappropriate.",I can't. Only a parent or a guardian can sign.,"I thought if you signed it, then I could...","Those without, stay put."
"You want to know why I stopped you facing that boggart, yes?","Professor, can I ask you something?","Forget about it, guys. See you later.",That's my final word.,"I'm sorry, Potter.","Since I am neither, it would be inappropriate.",I can't. Only a parent or a guardian can sign.,"I thought if you signed it, then I could..."
I thought it'd be obvious.,"You want to know why I stopped you facing that boggart, yes?","Professor, can I ask you something?","Forget about it, guys. See you later.",That's my final word.,"I'm sorry, Potter.","Since I am neither, it would be inappropriate.",I can't. Only a parent or a guardian can sign.
I assumed it would take the shape of Lord Voldemort.,I thought it'd be obvious.,"You want to know why I stopped you facing that boggart, yes?","Professor, can I ask you something?","Forget about it, guys. See you later.",That's my final word.,"I'm sorry, Potter.","Since I am neither, it would be inappropriate."
I did think of Voldemort at first.,I assumed it would take the shape of Lord Voldemort.,I thought it'd be obvious.,"You want to know why I stopped you facing that boggart, yes?","Professor, can I ask you something?","Forget about it, guys. See you later.",That's my final word.,"I'm sorry, Potter."
But then I remembered that night on the train and the dementor.,I did think of Voldemort at first.,I assumed it would take the shape of Lord Voldemort.,I thought it'd be obvious.,"You want to know why I stopped you facing that boggart, yes?","Professor, can I ask you something?","Forget about it, guys. See you later.",That's my final word.
I'm very impressed.,But then I remembered that night on the train and the dementor.,I did think of Voldemort at first.,I assumed it would take the shape of Lord Voldemort.,I thought it'd be obvious.,"You want to know why I stopped you facing that boggart, yes?","Professor, can I ask you something?","Forget about it, guys. See you later."
That suggests what you fear the most is fear itself.,I'm very impressed.,But then I remembered that night on the train and the dementor.,I did think of Voldemort at first.,I assumed it would take the shape of Lord Voldemort.,I thought it'd be obvious.,"You want to know why I stopped you facing that boggart, yes?","Professor, can I ask you something?"
This is very wise.,That suggests what you fear the most is fear itself.,I'm very impressed.,But then I remembered that night on the train and the dementor.,I did think of Voldemort at first.,I assumed it would take the shape of Lord Voldemort.,I thought it'd be obvious.,"You want to know why I stopped you facing that boggart, yes?"
Before I fainted I heard something.,This is very wise.,That suggests what you fear the most is fear itself.,I'm very impressed.,But then I remembered that night on the train and the dementor.,I did think of Voldemort at first.,I assumed it would take the shape of Lord Voldemort.,I thought it'd be obvious.
A woman screaming.,Before I fainted I heard something.,This is very wise.,That suggests what you fear the most is fear itself.,I'm very impressed.,But then I remembered that night on the train and the dementor.,I did think of Voldemort at first.,I assumed it would take the shape of Lord Voldemort.
Dementors force us to relive our very worst memories.,A woman screaming.,Before I fainted I heard something.,This is very wise.,That suggests what you fear the most is fear itself.,I'm very impressed.,But then I remembered that night on the train and the dementor.,I did think of Voldemort at first.
Our pain becomes their power.,Dementors force us to relive our very worst memories.,A woman screaming.,Before I fainted I heard something.,This is very wise.,That suggests what you fear the most is fear itself.,I'm very impressed.,But then I remembered that night on the train and the dementor.
I think it was my mother the night she was murdered.,Our pain becomes their power.,Dementors force us to relive our very worst memories.,A woman screaming.,Before I fainted I heard something.,This is very wise.,That suggests what you fear the most is fear itself.,I'm very impressed.
"The very first time I saw you, Harry, I recognized you immediately.",I think it was my mother the night she was murdered.,Our pain becomes their power.,Dementors force us to relive our very worst memories.,A woman screaming.,Before I fainted I heard something.,This is very wise.,That suggests what you fear the most is fear itself.
"Not by your scar, by your eyes.","The very first time I saw you, Harry, I recognized you immediately.",I think it was my mother the night she was murdered.,Our pain becomes their power.,Dementors force us to relive our very worst memories.,A woman screaming.,Before I fainted I heard something.,This is very wise.
"They're your mother, Lily's.","Not by your scar, by your eyes.","The very first time I saw you, Harry, I recognized you immediately.",I think it was my mother the night she was murdered.,Our pain becomes their power.,Dementors force us to relive our very worst memories.,A woman screaming.,Before I fainted I heard something.
"Yes. Oh, yes. I knew her.","They're your mother, Lily's.","Not by your scar, by your eyes.","The very first time I saw you, Harry, I recognized you immediately.",I think it was my mother the night she was murdered.,Our pain becomes their power.,Dementors force us to relive our very worst memories.,A woman screaming.
Your mother was there for me at a time when no one else was.,"Yes. Oh, yes. I knew her.","They're your mother, Lily's.","Not by your scar, by your eyes.","The very first time I saw you, Harry, I recognized you immediately.",I think it was my mother the night she was murdered.,Our pain becomes their power.,Dementors force us to relive our very worst memories.
Not only was she a singularly gifted witch she was also an uncommonly kind woman.,Your mother was there for me at a time when no one else was.,"Yes. Oh, yes. I knew her.","They're your mother, Lily's.","Not by your scar, by your eyes.","The very first time I saw you, Harry, I recognized you immediately.",I think it was my mother the night she was murdered.,Our pain becomes their power.
"She had a way of seeing the beauty in others even, and most especially, when that person could not see it in themselves.",Not only was she a singularly gifted witch she was also an uncommonly kind woman.,Your mother was there for me at a time when no one else was.,"Yes. Oh, yes. I knew her.","They're your mother, Lily's.","Not by your scar, by your eyes.","The very first time I saw you, Harry, I recognized you immediately.",I think it was my mother the night she was murdered.
"And your father, James, on the other hand he...","She had a way of seeing the beauty in others even, and most especially, when that person could not see it in themselves.",Not only was she a singularly gifted witch she was also an uncommonly kind woman.,Your mother was there for me at a time when no one else was.,"Yes. Oh, yes. I knew her.","They're your mother, Lily's.","Not by your scar, by your eyes.","The very first time I saw you, Harry, I recognized you immediately."
"He had a certain, shall we say, talent for trouble.","And your father, James, on the other hand he...","She had a way of seeing the beauty in others even, and most especially, when that person could not see it in themselves.",Not only was she a singularly gifted witch she was also an uncommonly kind woman.,Your mother was there for me at a time when no one else was.,"Yes. Oh, yes. I knew her.","They're your mother, Lily's.","Not by your scar, by your eyes."
"A talent, rumor has it, he passed on to you.","He had a certain, shall we say, talent for trouble.","And your father, James, on the other hand he...","She had a way of seeing the beauty in others even, and most especially, when that person could not see it in themselves.",Not only was she a singularly gifted witch she was also an uncommonly kind woman.,Your mother was there for me at a time when no one else was.,"Yes. Oh, yes. I knew her.","They're your mother, Lily's."
"You're more like them than you know, Harry.","A talent, rumor has it, he passed on to you.","He had a certain, shall we say, talent for trouble.","And your father, James, on the other hand he...","She had a way of seeing the beauty in others even, and most especially, when that person could not see it in themselves.",Not only was she a singularly gifted witch she was also an uncommonly kind woman.,Your mother was there for me at a time when no one else was.,"Yes. Oh, yes. I knew her."
"In time, you'll come to see just how much.","You're more like them than you know, Harry.","A talent, rumor has it, he passed on to you.","He had a certain, shall we say, talent for trouble.","And your father, James, on the other hand he...","She had a way of seeing the beauty in others even, and most especially, when that person could not see it in themselves.",Not only was she a singularly gifted witch she was also an uncommonly kind woman.,Your mother was there for me at a time when no one else was.
"Honeyduke's Sweetshop is brilliant, but nothing beats Zonko's Joke Shop.","In time, you'll come to see just how much.","You're more like them than you know, Harry.","A talent, rumor has it, he passed on to you.","He had a certain, shall we say, talent for trouble.","And your father, James, on the other hand he...","She had a way of seeing the beauty in others even, and most especially, when that person could not see it in themselves.",Not only was she a singularly gifted witch she was also an uncommonly kind woman.
We never got to go to the Shrieking Shack.,"Honeyduke's Sweetshop is brilliant, but nothing beats Zonko's Joke Shop.","In time, you'll come to see just how much.","You're more like them than you know, Harry.","A talent, rumor has it, he passed on to you.","He had a certain, shall we say, talent for trouble.","And your father, James, on the other hand he...","She had a way of seeing the beauty in others even, and most especially, when that person could not see it in themselves."
You heard it's the most...,We never got to go to the Shrieking Shack.,"Honeyduke's Sweetshop is brilliant, but nothing beats Zonko's Joke Shop.","In time, you'll come to see just how much.","You're more like them than you know, Harry.","A talent, rumor has it, he passed on to you.","He had a certain, shall we say, talent for trouble.","And your father, James, on the other hand he..."
Haunted building in Britain. I know.,You heard it's the most...,We never got to go to the Shrieking Shack.,"Honeyduke's Sweetshop is brilliant, but nothing beats Zonko's Joke Shop.","In time, you'll come to see just how much.","You're more like them than you know, Harry.","A talent, rumor has it, he passed on to you.","He had a certain, shall we say, talent for trouble."
What's going on?,Haunted building in Britain. I know.,You heard it's the most...,We never got to go to the Shrieking Shack.,"Honeyduke's Sweetshop is brilliant, but nothing beats Zonko's Joke Shop.","In time, you'll come to see just how much.","You're more like them than you know, Harry.","A talent, rumor has it, he passed on to you."
Probably Neville forgot the password again.,What's going on?,Haunted building in Britain. I know.,You heard it's the most...,We never got to go to the Shrieking Shack.,"Honeyduke's Sweetshop is brilliant, but nothing beats Zonko's Joke Shop.","In time, you'll come to see just how much.","You're more like them than you know, Harry."
Hey.,Probably Neville forgot the password again.,What's going on?,Haunted building in Britain. I know.,You heard it's the most...,We never got to go to the Shrieking Shack.,"Honeyduke's Sweetshop is brilliant, but nothing beats Zonko's Joke Shop.","In time, you'll come to see just how much."
"Oh, you're there.",Hey.,Probably Neville forgot the password again.,What's going on?,Haunted building in Britain. I know.,You heard it's the most...,We never got to go to the Shrieking Shack.,"Honeyduke's Sweetshop is brilliant, but nothing beats Zonko's Joke Shop."
"Let me through, please.","Oh, you're there.",Hey.,Probably Neville forgot the password again.,What's going on?,Haunted building in Britain. I know.,You heard it's the most...,We never got to go to the Shrieking Shack.
Excuse me! I'm Head Boy!,"Let me through, please.","Oh, you're there.",Hey.,Probably Neville forgot the password again.,What's going on?,Haunted building in Britain. I know.,You heard it's the most...
"Get back, all of you.",Excuse me! I'm Head Boy!,"Let me through, please.","Oh, you're there.",Hey.,Probably Neville forgot the password again.,What's going on?,Haunted building in Britain. I know.
No one is to enter this dormitory until it's been searched.,"Get back, all of you.",Excuse me! I'm Head Boy!,"Let me through, please.","Oh, you're there.",Hey.,Probably Neville forgot the password again.,What's going on?
The Fat Lady! She's gone!,No one is to enter this dormitory until it's been searched.,"Get back, all of you.",Excuse me! I'm Head Boy!,"Let me through, please.","Oh, you're there.",Hey.,Probably Neville forgot the password again.
Serves her right.,The Fat Lady! She's gone!,No one is to enter this dormitory until it's been searched.,"Get back, all of you.",Excuse me! I'm Head Boy!,"Let me through, please.","Oh, you're there.",Hey.
She was a terrible singer.,Serves her right.,The Fat Lady! She's gone!,No one is to enter this dormitory until it's been searched.,"Get back, all of you.",Excuse me! I'm Head Boy!,"Let me through, please.","Oh, you're there."
"It's not funny, Ron.",She was a terrible singer.,Serves her right.,The Fat Lady! She's gone!,No one is to enter this dormitory until it's been searched.,"Get back, all of you.",Excuse me! I'm Head Boy!,"Let me through, please."
"Keep calm, everyone. Break into fours.","It's not funny, Ron.",She was a terrible singer.,Serves her right.,The Fat Lady! She's gone!,No one is to enter this dormitory until it's been searched.,"Get back, all of you.",Excuse me! I'm Head Boy!
Back to your common room.,"Keep calm, everyone. Break into fours.","It's not funny, Ron.",She was a terrible singer.,Serves her right.,The Fat Lady! She's gone!,No one is to enter this dormitory until it's been searched.,"Get back, all of you."
Be quiet. Make way.,Back to your common room.,"Keep calm, everyone. Break into fours.","It's not funny, Ron.",She was a terrible singer.,Serves her right.,The Fat Lady! She's gone!,No one is to enter this dormitory until it's been searched.
The headmaster's here.,Be quiet. Make way.,Back to your common room.,"Keep calm, everyone. Break into fours.","It's not funny, Ron.",She was a terrible singer.,Serves her right.,The Fat Lady! She's gone!
"Come on, move.",The headmaster's here.,Be quiet. Make way.,Back to your common room.,"Keep calm, everyone. Break into fours.","It's not funny, Ron.",She was a terrible singer.,Serves her right.
You heard. Move!,"Come on, move.",The headmaster's here.,Be quiet. Make way.,Back to your common room.,"Keep calm, everyone. Break into fours.","It's not funny, Ron.",She was a terrible singer.
Mr. Filch? Round up the ghosts.,You heard. Move!,"Come on, move.",The headmaster's here.,Be quiet. Make way.,Back to your common room.,"Keep calm, everyone. Break into fours.","It's not funny, Ron."
Tell them to search every painting in the castle to find the Fat Lady.,Mr. Filch? Round up the ghosts.,You heard. Move!,"Come on, move.",The headmaster's here.,Be quiet. Make way.,Back to your common room.,"Keep calm, everyone. Break into fours."
"There's no need for ghosts, professor.",Tell them to search every painting in the castle to find the Fat Lady.,Mr. Filch? Round up the ghosts.,You heard. Move!,"Come on, move.",The headmaster's here.,Be quiet. Make way.,Back to your common room.
The Fat Lady's there.,"There's no need for ghosts, professor.",Tell them to search every painting in the castle to find the Fat Lady.,Mr. Filch? Round up the ghosts.,You heard. Move!,"Come on, move.",The headmaster's here.,Be quiet. Make way.
